lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
íslenskur	lo	l	25164	137	408874	Icelandic	Samhliða uppboðinu verður haldin ráðstefna um	íslenska	listamenn.	istlɛnskʏr	Lýsingarorð	Adjective	adj.	1K																					íslenskur  --  íslensk -- íslenskt	íslenskari -- íslenskari -- íslenskara	íslenskastur -- íslenskust -- íslenskast			íslenskur.mp3
ganga	so	s	25055	138	478540	walk	Ég	gekk	til þessa samstarf hérna fyrir þremur árum.	kauŋka	Sagnorð	Verb	v.	1K	geng	gengur	gengur	gekk	gekkst	gekk	gengið																			ganga.mp3
setja	so	s	24541	139	476695	put, place	Hann hafi aðeins verið að	setja	málið í samhengi.	sɛːtja	Sagnorð	Verb	v.	1K	set	setur	setur	setti	settir	setti	sett																			setja.mp3
vita	so	s	24283	140	427495	know	Lögreglan	veit	hver árásarmaðurinn er.	vɪːta	Sagnorð	Verb	v.	1K	veit	veist	veit	vissi	vissir	vissi	vitað																			vita.mp3
gefa	so	s	23940	141	434231	give	Framvegis verður blaðið aðeins	gefið	út á netinu.	cɛːva	Sagnorð	Verb	v.	1K	gef	gefur	gefur	gaf	gafst	gaf	gefið																			gefa.mp3
þannig	ao	a	23881	142	495856	so, thus; such	Hann hefur ekki verið yfirheyrður	þannig	að málsatvik liggja ekki fyrir.	θanɪɣ	Atviksorð	Adverb	adv.	1K								þannig																		þannig.mp3
vinna	so	s	23473	143	485738	work; win	Ráðherra sagði hópinn eiga að	vinna	hratt.	vɪna	Sagnorð	Verb	v.	1K	vinn	vinnur	vinnur	vann	vannst	vann	unnið																			vinna.mp3
saman	ao	a	23410	144	495734	together	Fjárlaganefnd kom aftur	saman	klukkan níu í morgun.	saːman	Atviksorð	Adverb	adv.	1K								saman																		saman.mp3
láta	so	s	23362	145	433660	put; let, make	Þeir	láta	sig hafa flutningana þrátt fyrir nokkur óþægindi.	lauːta	Sagnorð	Verb	v.	1K	læt	lætur	lætur	lét	lést	lét	látið																			láta.mp3
undir	fs	a	23109	147	495338	under	Hann er einnig grunaður um akstur	undir	áhrifum fíkniefna í nótt.	ʏntɪr	Forsetning	Preposition	prep.	1K								undir																		undir.mp3
skulu	so	s	22900	149	469284	shall, must	Við	skulum	sjá til hvað gerist í dag.	skʏːlʏ	Sagnorð	Verb	v.	1K	skal	skalt	skal																							skulu.mp3
inn	fs	a	22662	150.5	495292	inside, into	Karlar og konur í framboði sendu hins vegar	inn	jafnmargar kosningagreinar.	ɪn	Forsetning	Preposition	prep.	1K								inn																		inn.mp3
fyrstur	lo	l	22315	152	416955	first	Óvíst er hvenær hægt verður að fá	fyrstu	greiðslu.	fɪr̥stʏr	Lýsingarorð	Adjective	adj.	1K																					fyrstur  --  fyrst -- fyrst					fyrstur.mp3
áður	ao	a	22211	153	495475	previously, before	Mennirnir hafa allir komið við sögu lögreglu	áður	.	auːðʏr	Atviksorð	Adverb	adv.	1K								áður																		áður.mp3
kona	kvk	nv	21979	154	393384	woman		Konan	er ólétt og komin sjö mánuði á leið.	kʰɔːna	Nafnorð	Noun	f.	1K									konu	konu	konu	konur	konur	konum	kvenna											kona.mp3
mynd	kvk	nv	21436	155	10386	photo; movie; image	Þúsundir manna sáu ljósið og tóku af því	myndir	.	mɪnt	Nafnorð	Noun	f.	1K									mynd	mynd	myndar	myndir	myndir	myndum	mynda											mynd.mp3
stór	lo	l	21289	156	389854	large; tall	Þetta er	stór	dagur.	stouːr	Lýsingarorð	Adjective	adj.	1K																					stór  --  stór -- stórt	stærri -- stærri -- stærra	stærstur -- stærst -- stærst			stór.mp3
fyrr	ao	a	21277	157	495560	earlier, before	Frístundaheimili eiga að taka við börnum	fyrr	en áður.	fɪr	Atviksorð	Adverb	adv.	1K								fyrr																		fyrr.mp3
dæmi	hk	nh	21176	158	871	example	Hann var til	dæmis	í fjórða sæti allt árið í fyrra.	taiːmɪ	Nafnorð	Noun	n.	1K									dæmi	dæmi	dæmis	dæmi	dæmi	dæmum	dæma											dæmi.mp3
króna	kvk	nv	21098	159	14215	icelandic krona (currency); (tree) crown	Stór bjórdós hækkar um 18	krónur	.	kʰrouːna	Nafnorð	Noun	f.	1K									krónu	krónu	krónu	krónur	krónur	krónum	króna											króna.mp3
ná	so	s	20989	160	463902	get, obtain; catch	Þeir	náðu	ökumanninum sem reyndist vera undir áhrifum áfengis.	nauː	Sagnorð	Verb	v.	1K	næ	nærð	nær	náði	náðir	náði	náð																			ná.mp3
hvort	st	c	20510	161	495365	if, whether	Verið er að kanna	hvort	þeir stálu bílnum.	kʰvɔr̥t	Samtenging	Conjuction	conj.	1K								hvort																		hvort.mp3
hægur	lo	l	20312	162	409059	slow; possible	Víða er	hægt	að skella sér á skíði í dag.	haiːɣʏr	Lýsingarorð	Adjective	adj.	1K																					hægur  --  hæg -- hægt	hægari -- hægari -- hægara	hægastur -- hægust -- hægast			hægur.mp3
nota	so	s	20280	163	422130	use	Þeir segja að hann verði aðeins	notaður	í friðsamlegum tilgangi.	nɔːta	Sagnorð	Verb	v.	1K	nota	notar	notar	notaði	notaðir	notaði	notað																			nota.mp3
sjálfur	fn	fb	20221	164	478780	oneself	Ég hef ekki komið nálægt þessu	sjálfur	.	sjaulvʏr	Fornafn	Pronoun	pron.	1K																sjálfir -- sjálfar -- sjálf	sjálfur  --  sjálf -- sjálft									sjálfur.mp3
milli	fs	a	20114	165.5	495304	between	Upphæðin hækkar um tæpa 3 milljarða	milli	ára.	mɪtlɪ	Forsetning	Preposition	prep.	1K								milli																		milli.mp3
síðan	fs	a	19631	167	495327	since	Ekkert hefur heyrst frá henni	síðan	.	siːðan	Forsetning	Preposition	prep.	1K								síðan																		síðan.mp3
